nct_id,overallStatus,study_type,why_stopped
NCT00872300,TERMINATED,INTERVENTIONAL,Low recruitment rate
NCT00872404,TERMINATED,INTERVENTIONAL,lack of efficacy
NCT00872482,TERMINATED,INTERVENTIONAL,Study closed due to low enrollment
NCT00872547,TERMINATED,INTERVENTIONAL,DePuy discontinued this product in 4Q2009. At the time of this decision DePuy reviewed all clinical studies for this product and decided to close this Study
NCT00872573,TERMINATED,INTERVENTIONAL,Technical issues with RSA at main site and departure of Principal Investigator
NCT00872638,WITHDRAWN,INTERVENTIONAL,lack of participation
NCT00872794,TERMINATED,INTERVENTIONAL,DePuy discontinued this product in 4Q 2009.At the time of this decision DePuy reviewed all clinical studies for this product and decided to close this Study.
NCT00872976,WITHDRAWN,INTERVENTIONAL,Business Objectives Changed
NCT00873002,TERMINATED,INTERVENTIONAL,Dose Limiting Toxicity
NCT00873132,WITHDRAWN,OBSERVATIONAL,No Funding
NCT00873158,TERMINATED,INTERVENTIONAL,Unrelated to trial
NCT00873366,TERMINATED,OBSERVATIONAL,Funding issues
NCT00873444,TERMINATED,INTERVENTIONAL,Study progress very slow therefore terminated as other projects underway to investigate the same research question which will deliver results earlier
NCT00873600,WITHDRAWN,OBSERVATIONAL,No accrual
NCT00873743,SUSPENDED,OBSERVATIONAL,Study was stopped because of ineffectiveness of one investigated Drug
NCT00873808,WITHDRAWN,OBSERVATIONAL,lack of accrual
NCT00873834,WITHDRAWN,INTERVENTIONAL,Withdrawn for problem of logistics with the associated laboratories
NCT00873886,WITHDRAWN,INTERVENTIONAL,We will focus on other Tamiflu research studies. No subjects were enrolled.
NCT00874133,TERMINATED,INTERVENTIONAL,Completed due to low number of eligible patients
NCT00874302,WITHDRAWN,INTERVENTIONAL,Study terminated for safety and the FDA put the study on hold for safety.
NCT00874315,WITHDRAWN,INTERVENTIONAL,lack of accrual
NCT00874497,TERMINATED,INTERVENTIONAL,Sponsor Terminated
NCT00874796,TERMINATED,INTERVENTIONAL,Reports of significant laboratory abnormalities and adverse events in a number of clinical study participants.
NCT00875004,TERMINATED,INTERVENTIONAL,"After two years of trial initiation, only 27 out of 300 patients were included. During this period, the international recommendations for the use of COOL were modified."
NCT00875095,TERMINATED,OBSERVATIONAL,Study funding was withdrawn by the sponsor following agreement that slow patient recruitment warranted a new approach.
NCT00875160,TERMINATED,INTERVENTIONAL,Subject Recruitment
NCT00875342,TERMINATED,INTERVENTIONAL,Trial is no longer enrolling due to priority of other non-pharmacologic PTSD trials.
NCT00875602,WITHDRAWN,INTERVENTIONAL,NO need
NCT00875628,TERMINATED,INTERVENTIONAL,See Detailed Description
NCT00875797,TERMINATED,INTERVENTIONAL,"Termination due to interim analysis results, inclusion problems in small ICUs."
NCT00875823,WITHDRAWN,OBSERVATIONAL,Study was combined with Mayo protocol 07-003476
NCT00875862,TERMINATED,INTERVENTIONAL,procedure no longer being done
NCT00875875,WITHDRAWN,INTERVENTIONAL,No study population in Mexico (H1N1). Study withdrawn from IRB consideration.
NCT00875888,TERMINATED,INTERVENTIONAL,"based on interim analysis statistical significance in primary endpoint cannot be achieved with planned sample size, no safety concerns"
NCT00876174,WITHDRAWN,OBSERVATIONAL,no accrual
NCT00876278,WITHDRAWN,INTERVENTIONAL,Due to internal reasons study was not performed.
NCT00876317,TERMINATED,INTERVENTIONAL,Change in current areas of research interest of the collaborator
NCT00876850,WITHDRAWN,INTERVENTIONAL,Terminated
NCT00876876,WITHDRAWN,INTERVENTIONAL,Created Extension study - This study was no longer feasible
NCT00876915,TERMINATED,INTERVENTIONAL,slow enrollment and lack of continuing funds
NCT00877240,WITHDRAWN,INTERVENTIONAL,lack of complaince
NCT00877318,TERMINATED,INTERVENTIONAL,insufficient recruitment
NCT00877513,TERMINATED,INTERVENTIONAL,Funding expired
NCT00877617,WITHDRAWN,OBSERVATIONAL,Slow accrual
NCT00877773,TERMINATED,INTERVENTIONAL,Slow Accrual
NCT00878046,TERMINATED,INTERVENTIONAL,The Silent Hip has been rationalized for business reasons only
NCT00878124,TERMINATED,INTERVENTIONAL,Very low recruitment rate
NCT00878202,TERMINATED,INTERVENTIONAL,Insufficient recruitment
NCT00878215,TERMINATED,INTERVENTIONAL,The image-guidance system became commercially available
NCT00878345,WITHDRAWN,INTERVENTIONAL,Study was never opened
NCT00878501,TERMINATED,INTERVENTIONAL,The study was terminated after the planned interim analysis.
NCT00878579,TERMINATED,INTERVENTIONAL,Sponsor Termination
NCT00878592,TERMINATED,INTERVENTIONAL,PI left institution
NCT00878605,TERMINATED,INTERVENTIONAL,Unable to reach accrual target.
NCT00878657,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00878683,WITHDRAWN,INTERVENTIONAL,Never received IRB approval; Withdrawn before enrollment ever started
NCT00878839,WITHDRAWN,INTERVENTIONAL,Product availability
NCT00878969,TERMINATED,INTERVENTIONAL,insufficient enrollment and retention
NCT00879021,TERMINATED,INTERVENTIONAL,lack of funding and patients
NCT00879073,TERMINATED,INTERVENTIONAL,Principal Investigator is leaving Moffitt
NCT00879112,WITHDRAWN,INTERVENTIONAL,Study terminated prior to initiation
NCT00879450,TERMINATED,INTERVENTIONAL,Clinical department where study was held was unable to continue collaboration
NCT00879528,TERMINATED,OBSERVATIONAL,Failure of accrual achievement
NCT00879619,TERMINATED,INTERVENTIONAL,Terminated due to slow accrual.
NCT00879645,TERMINATED,INTERVENTIONAL,unable to develop a rapid \& reliable assay to detect sulfide concentrations
NCT00879957,WITHDRAWN,INTERVENTIONAL,A study was published regarding the same question this study had.
NCT00879970,TERMINATED,INTERVENTIONAL,FDA has placed the trial on full clinical hold.
NCT00880009,TERMINATED,INTERVENTIONAL,See termination reason in detailed description.
NCT00880048,TERMINATED,INTERVENTIONAL,To allow assessment of isolated events of seizure during program
NCT00880373,TERMINATED,INTERVENTIONAL,The funding withdrawal and early termination of the trial is based upon lack of suitable recruitment figures in order to reach the required trial endpoints.
NCT00880386,WITHDRAWN,INTERVENTIONAL,Study concept was not approved by NCI. Study was never activated. No enrollment
NCT00880399,TERMINATED,INTERVENTIONAL,To allow assessment of isolated events of seizure during program
NCT00880529,TERMINATED,INTERVENTIONAL,"low enrollment, 2 pts enrolled no data every analyzed investigator left the institution"
NCT00880542,TERMINATED,INTERVENTIONAL,The study lost funding.
NCT00880854,WITHDRAWN,INTERVENTIONAL,Lack of accrual
NCT00880867,TERMINATED,INTERVENTIONAL,Low enrollment
NCT00881023,TERMINATED,INTERVENTIONAL,Study was terminated because of very low enrollment rate.
NCT00881114,WITHDRAWN,INTERVENTIONAL,Investigator decided it was not feasible to conduct this study
NCT00881205,TERMINATED,INTERVENTIONAL,Termination of study due to low enrollment
NCT00881257,TERMINATED,INTERVENTIONAL,Data was inconclusive
NCT00881283,TERMINATED,OBSERVATIONAL,Decision made to close study early.
NCT00881413,WITHDRAWN,INTERVENTIONAL,problems in funding
NCT00881439,TERMINATED,INTERVENTIONAL,Futility
NCT00881504,TERMINATED,INTERVENTIONAL,It was not possible to get insurance companies to cover bevacizumab.
NCT00881595,WITHDRAWN,INTERVENTIONAL,No patients accrued since study opened
NCT00881608,TERMINATED,INTERVENTIONAL,Repros stopped study for safety and the FDA put the study on hold for safety.
NCT00881621,TERMINATED,INTERVENTIONAL,slow enrollment
NCT00881673,WITHDRAWN,INTERVENTIONAL,Management decision
NCT00881712,TERMINATED,INTERVENTIONAL,projected enrollment rate not feasible
NCT00881725,TERMINATED,INTERVENTIONAL,Slow Accrual
NCT00881777,TERMINATED,INTERVENTIONAL,Unable to recruit suitable subjects within a reasonable time period.
NCT00882076,TERMINATED,INTERVENTIONAL,study closed prematurely
NCT00882193,TERMINATED,INTERVENTIONAL,new medications with improved response released
NCT00882206,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00882414,TERMINATED,INTERVENTIONAL,Main objective of study was met. Further recruitment was difficult.
NCT00882583,TERMINATED,INTERVENTIONAL,Low accrual
NCT00882622,WITHDRAWN,INTERVENTIONAL,Endpoints were investigated in parallel in NCT00877305
NCT00882765,WITHDRAWN,INTERVENTIONAL,Study has been closed due to no accrual.
NCT00883116,TERMINATED,INTERVENTIONAL,Interim analysis results showed that ixabepilone did not improve survival compared with control chemotherapies.
NCT00883636,TERMINATED,OBSERVATIONAL,study stopped due to lack of activity
NCT00883805,WITHDRAWN,OBSERVATIONAL,PI moved
NCT00884039,TERMINATED,INTERVENTIONAL,Preliminary data analysis showed insufficient efficacy to justify continuation.
NCT00884390,TERMINATED,INTERVENTIONAL,See termination reason in detailed description.
NCT00884403,TERMINATED,OBSERVATIONAL,"This study is a retrospective chart review study, not a clinical trial."
NCT00884533,WITHDRAWN,INTERVENTIONAL,The whole project was terminated
NCT00884715,TERMINATED,INTERVENTIONAL,Program was terminated for business reasons
NCT00884819,TERMINATED,INTERVENTIONAL,Poor recruitment
NCT00884988,SUSPENDED,INTERVENTIONAL,Study recruiter withdrew from study. Suspended until replacement found.
NCT00885183,TERMINATED,INTERVENTIONAL,Difficult to recruit participants
NCT00885547,TERMINATED,INTERVENTIONAL,low-rate of enrollment
NCT00885560,TERMINATED,OBSERVATIONAL,"Collecting data for the population involved was very difficult. Over 3 years, only 19 participants were recruited."
NCT00885677,TERMINATED,INTERVENTIONAL,Low enrollment rate
NCT00885690,TERMINATED,INTERVENTIONAL,Due to recruitment problems
NCT00885924,TERMINATED,INTERVENTIONAL,to include required number of patients took too much time
NCT00885963,TERMINATED,INTERVENTIONAL,Limitation in financial resources.
NCT00886249,WITHDRAWN,OBSERVATIONAL,The PI has determined not to continue the study.
NCT00886366,TERMINATED,INTERVENTIONAL,Part A reached a predefined stopping criteria. Relevant doses for part B could not be established based on A and subsequently study was stopped.
NCT00886457,TERMINATED,INTERVENTIONAL,low accrual
NCT00886470,TERMINATED,INTERVENTIONAL,This study was terminated early due to slow accrual of patients.
NCT00886496,WITHDRAWN,INTERVENTIONAL,No participants enrolled. IND withdrawn.
NCT00886548,WITHDRAWN,OBSERVATIONAL,Delayed inclusion
NCT00886743,TERMINATED,INTERVENTIONAL,"Business reason, Pfizer's requested withdrawal of the Biologics License Application (BLA) . This study is not being discontinued for efficacy or safety reason"
NCT00886769,TERMINATED,INTERVENTIONAL,recommendation by Data Monitoring Committee
NCT00886951,TERMINATED,INTERVENTIONAL,There seemed to be no uptake of the ligand in the areas of the brain expected for subjects with amyloid.
NCT00887055,WITHDRAWN,OBSERVATIONAL,never started
NCT00887315,TERMINATED,INTERVENTIONAL,Slow accrual and loss of sponsor
NCT00887445,TERMINATED,INTERVENTIONAL,"The study was terminated on June 25th, 2009 due to strategic decision"
NCT00887497,TERMINATED,INTERVENTIONAL,terminated due to failure to enroll patients after two years of approval
NCT00887731,TERMINATED,OBSERVATIONAL,slow enrollment
NCT00887848,TERMINATED,INTERVENTIONAL,Recruitment problems
NCT00887926,TERMINATED,INTERVENTIONAL,Lack of efficacy
NCT00888017,TERMINATED,OBSERVATIONAL,Slow enrollment
NCT00888329,TERMINATED,INTERVENTIONAL,Slow accrual.
NCT00888667,TERMINATED,OBSERVATIONAL,Patient population was not available
NCT00888680,WITHDRAWN,INTERVENTIONAL,No patients enrolled. Delay due to optimisation of drug product formulation.
NCT00888810,TERMINATED,INTERVENTIONAL,lack of efficacy (intermediate analysis)
NCT00889083,WITHDRAWN,OBSERVATIONAL,no patients to include
NCT00889187,TERMINATED,INTERVENTIONAL,Excess toxicity was identified intraoperatively
NCT00889421,TERMINATED,INTERVENTIONAL,Investigator discretion due to lack of efficacy in three subjects enrolled
NCT00889512,TERMINATED,INTERVENTIONAL,Drug no longer available by manufacturer
NCT00889590,TERMINATED,INTERVENTIONAL,low recruitment with registration denosumab
NCT00889733,TERMINATED,INTERVENTIONAL,Poor recruitment
NCT00889876,TERMINATED,INTERVENTIONAL,"hard to recruite, no funding"
NCT00890097,TERMINATED,INTERVENTIONAL,Treatment ineffective
NCT00890149,TERMINATED,INTERVENTIONAL,Difficulty recruiting target sample
NCT00890630,TERMINATED,INTERVENTIONAL,Inadequate Patient Recruitment.
NCT00890643,WITHDRAWN,INTERVENTIONAL,Primary investigator left VA employment
NCT00890695,TERMINATED,INTERVENTIONAL,New provision of supplementary feeds for moderately malnourished children
NCT00891033,TERMINATED,INTERVENTIONAL,This study was terminated because the drug company stopped making the study drug
NCT00891085,TERMINATED,OBSERVATIONAL,unable to enroll patients adequately
NCT00891397,TERMINATED,INTERVENTIONAL,Unable to recruit patients
NCT00891631,WITHDRAWN,INTERVENTIONAL,Grant application was not funded
NCT00891761,WITHDRAWN,INTERVENTIONAL,This study has been cancelled prior to enrollment.
NCT00891800,TERMINATED,INTERVENTIONAL,Lack of study patients
NCT00891904,TERMINATED,INTERVENTIONAL,Low accrual
NCT00891917,WITHDRAWN,INTERVENTIONAL,no funding
NCT00891969,TERMINATED,OBSERVATIONAL,Slow accrual
NCT00891995,TERMINATED,INTERVENTIONAL,Primary outcome evaluation determined lack of treatment group difference
NCT00892216,TERMINATED,INTERVENTIONAL,Not enough participants for study to be completed
NCT00892242,TERMINATED,INTERVENTIONAL,Principal Investigator decided to close the study early.
NCT00892268,TERMINATED,INTERVENTIONAL,Poor accural
NCT00892346,SUSPENDED,INTERVENTIONAL,No avaliability of melphlan in mainland China
NCT00892632,TERMINATED,INTERVENTIONAL,Difficult (slow) Enrollment
NCT00892801,TERMINATED,INTERVENTIONAL,Terminated due to low accrual. Study was closed to accrual prematurely and did not continue on to Phase II.
NCT00893048,WITHDRAWN,INTERVENTIONAL,Study never enrolled any subjects before auto-terminated by the internal IRB.
NCT00893516,TERMINATED,INTERVENTIONAL,Portfolio consolidation.
NCT00893620,TERMINATED,INTERVENTIONAL,"Due to less than expected enrollment rates, Cook has reevaluated the need for this clinical study."
NCT00893776,TERMINATED,INTERVENTIONAL,Insufficient time for study extenuating personal circumstances of PI
NCT00893789,TERMINATED,INTERVENTIONAL,Study has been stopped by sponsor decision.
NCT00893867,TERMINATED,INTERVENTIONAL,The result of a pre-planned interim futility analysis
NCT00893984,TERMINATED,INTERVENTIONAL,Lack of patient recruitment
NCT00893997,TERMINATED,INTERVENTIONAL,The trial was ended per sponsor due to slow accrual rates.
NCT00894023,TERMINATED,INTERVENTIONAL,the study was stopped because the sample size was very difficult to achieve.
NCT00894075,WITHDRAWN,INTERVENTIONAL,Withdrawn pending further review of clinical design.
NCT00894101,WITHDRAWN,INTERVENTIONAL,The main sponsor of this multi-center trial has submitted this protocol. A single participating site should not register this study.
NCT00894361,TERMINATED,INTERVENTIONAL,PI/study coordinator retired due to personal family health matters; study sponsor withdrew funding. Study terminated and no data collected or analyzed
NCT00894465,TERMINATED,INTERVENTIONAL,Most pts requested to be treated with versed. It was difficult to randomize pts.
NCT00894491,WITHDRAWN,OBSERVATIONAL,Nonapplicable clinical trial
NCT00894751,TERMINATED,INTERVENTIONAL,low enrollment and high participant withdraw
NCT00894790,TERMINATED,INTERVENTIONAL,See termination reason in detailed description.
NCT00895024,TERMINATED,OBSERVATIONAL,PRMS No Slow Accrual
NCT00895245,TERMINATED,INTERVENTIONAL,Study stopped due to lack of efficacy in first 6 patients
NCT00895284,TERMINATED,INTERVENTIONAL,Lack of funding
NCT00895297,TERMINATED,INTERVENTIONAL,Slow recruitment. No safety concerns during this study.
NCT00895336,WITHDRAWN,INTERVENTIONAL,IND for this study remained on clinical hold
NCT00895479,TERMINATED,INTERVENTIONAL,Strategic reasons. Seeking partner for future development.
NCT00895531,TERMINATED,INTERVENTIONAL,Investigator left institution
NCT00895557,WITHDRAWN,INTERVENTIONAL,"This study never started, no funding."
NCT00895648,TERMINATED,INTERVENTIONAL,low accrual due to competing study for same group of patients
NCT00895791,WITHDRAWN,INTERVENTIONAL,major protocol changes: new study submitted
NCT00895895,TERMINATED,INTERVENTIONAL,See termination reason in detailed description.
NCT00895960,TERMINATED,INTERVENTIONAL,Sponsor withdrew support; Study did not progress to Phase II.
NCT00896025,TERMINATED,INTERVENTIONAL,"This observational study was stopped after 140 patients were enrolled, no more funds available to continue."
NCT00896402,WITHDRAWN,INTERVENTIONAL,Funding inadequate
NCT00896441,TERMINATED,INTERVENTIONAL,Funding ended
NCT00896610,TERMINATED,OBSERVATIONAL,All analysis with identifiable specimens/data is complete or site has no identifiers linked to the specimens/data
NCT00896688,WITHDRAWN,OBSERVATIONAL,The PI has been unable to continue with the study.
NCT00896961,TERMINATED,INTERVENTIONAL,Administratively complete.
NCT00897143,WITHDRAWN,OBSERVATIONAL,PI Left
NCT00897312,TERMINATED,OBSERVATIONAL,slow accrual
NCT00897377,TERMINATED,INTERVENTIONAL,Difficulty in recruiting patients
NCT00897806,TERMINATED,OBSERVATIONAL,Terminated due to slow accrual.
NCT00897858,WITHDRAWN,OBSERVATIONAL,"This non-therapeutic study was registered in error. The PRS team doesn't delete studies once registered, so they recommended changing the status to Withdrawn"
NCT00897910,TERMINATED,OBSERVATIONAL,Funding unavailable
NCT00898027,TERMINATED,OBSERVATIONAL,slow accrual
NCT00898209,TERMINATED,OBSERVATIONAL,This study competed with another VICC study
NCT00898430,TERMINATED,OBSERVATIONAL,Study closed prematurely upon PI's departure
NCT00898547,TERMINATED,OBSERVATIONAL,Poor accrual
NCT00898612,WITHDRAWN,OBSERVATIONAL,No Patients enrolled
NCT00898742,TERMINATED,OBSERVATIONAL,study closed prematurely upon PI's departure from VICC
NCT00898781,TERMINATED,OBSERVATIONAL,Due to poor accrual
NCT00898833,TERMINATED,OBSERVATIONAL,The proposed work could not be completed.
NCT00898937,TERMINATED,OBSERVATIONAL,Funding ended
NCT00899002,WITHDRAWN,OBSERVATIONAL,slow accrual
NCT00899132,TERMINATED,OBSERVATIONAL,Study due for continuing review
NCT00899288,TERMINATED,INTERVENTIONAL,Insufficient accrual
NCT00899353,TERMINATED,INTERVENTIONAL,Original Principal Investigator left the institution.
NCT00899431,TERMINATED,INTERVENTIONAL,Terminated per PI's request at the time of continuing review
NCT00899639,WITHDRAWN,OBSERVATIONAL,"not ""applicable clinical trial"""
NCT00899678,TERMINATED,INTERVENTIONAL,higher than projected discontinuation rate during Maintenance Phase
NCT00899704,WITHDRAWN,OBSERVATIONAL,Study was never published
NCT00899808,WITHDRAWN,OBSERVATIONAL,"not ""applicable clinical trial"""
NCT00899860,TERMINATED,OBSERVATIONAL,PI left institution
NCT00899951,TERMINATED,OBSERVATIONAL,poor accrual
NCT00899977,TERMINATED,INTERVENTIONAL,Business reasons
NCT00900081,WITHDRAWN,OBSERVATIONAL,"no accrual, PI left institution"
NCT00900120,WITHDRAWN,OBSERVATIONAL,Will be replaced by honest broker program
NCT00900146,TERMINATED,INTERVENTIONAL,Numerically modest lowering of HbA1c with canakinumab in combination with metformin was inadequate to continue patients with T2DM into Period IV of this study.
NCT00900510,WITHDRAWN,INTERVENTIONAL,Recruitment of this population in the hospital setting not practical.
NCT00900549,TERMINATED,INTERVENTIONAL,"Futility reason, no difference between study groups"
NCT00900562,TERMINATED,INTERVENTIONAL,Slow and poor recruitment.
NCT00900666,TERMINATED,INTERVENTIONAL,Original subject recruitment goal was unrealistic. Study was terminated at N=19.
NCT00901108,TERMINATED,INTERVENTIONAL,Slow study recruitment and lack of clinical equipoise over time
NCT00901160,TERMINATED,OBSERVATIONAL,Unable to get funding
NCT00901290,SUSPENDED,INTERVENTIONAL,suspended pending data analysis
NCT00901303,TERMINATED,INTERVENTIONAL,The study was terminated due to lack of accrual.
NCT00901420,TERMINATED,OBSERVATIONAL,Terminated due to slow accrual.
NCT00901537,TERMINATED,INTERVENTIONAL,Sponsor terminated due to no enrollments within last 4 months.
NCT00901693,TERMINATED,INTERVENTIONAL,Internal business decision
NCT00901823,WITHDRAWN,INTERVENTIONAL,Did not support the planned development of DCCR in the new indication
NCT00901836,TERMINATED,INTERVENTIONAL,Study closed due to feasability
NCT00901927,TERMINATED,INTERVENTIONAL,Study was closed early due to toxicity
NCT00902317,TERMINATED,INTERVENTIONAL,No funding
NCT00902525,TERMINATED,INTERVENTIONAL,After enrolling 25 patients an interim analysis was done.The study was discontinued in the absence of the minimum number of 6 patients free of events
NCT00902603,TERMINATED,OBSERVATIONAL,low enrollment and difficulty recruiting eligible patients in adequate time
NCT00902668,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00902863,TERMINATED,INTERVENTIONAL,Unable to keep patients attending yoga sessions
NCT00903006,TERMINATED,INTERVENTIONAL,Low Accrual
NCT00903214,WITHDRAWN,INTERVENTIONAL,Funding ended
NCT00903279,WITHDRAWN,INTERVENTIONAL,Funding
NCT00903396,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00903461,TERMINATED,INTERVENTIONAL,drug supply issues
NCT00903630,TERMINATED,INTERVENTIONAL,lack of funding
NCT00903656,TERMINATED,INTERVENTIONAL,Caelyx was not available anymore
NCT00903695,TERMINATED,INTERVENTIONAL,"Risk/benefit ratio did not indicate further study would be useful, or fair to future subjects."
NCT00903838,TERMINATED,INTERVENTIONAL,"The study was terminated on 31 May, 2011, due to strategic considerations."
NCT00903942,WITHDRAWN,INTERVENTIONAL,funding was withdrawn from Drug company
NCT00904137,TERMINATED,INTERVENTIONAL,We were unable to recruit the appropriate numbers as parents did not want to randomize their child for the treatments options.
NCT00904189,TERMINATED,INTERVENTIONAL,PI has relocated
NCT00904345,TERMINATED,INTERVENTIONAL,Stopped early for funding and efficacy reasons.
NCT00904397,TERMINATED,INTERVENTIONAL,Rofecoxib was withdrawn from the market due to safety concerns.
NCT00904423,TERMINATED,INTERVENTIONAL,Low accrual
NCT00904488,TERMINATED,INTERVENTIONAL,Difficult recruitment
NCT00904605,TERMINATED,INTERVENTIONAL,Safety concerns with the COX-2 specific inhibitor class of drug.
NCT00905021,TERMINATED,INTERVENTIONAL,Sponsor withdrew support
NCT00905229,WITHDRAWN,INTERVENTIONAL,Enrollment problems
NCT00905294,TERMINATED,OBSERVATIONAL,Funding withdrawn
NCT00905398,TERMINATED,INTERVENTIONAL,The study was terminated due to excessive toxicity and low compliance to the protocol scheme.
NCT00905437,TERMINATED,INTERVENTIONAL,The Study was terminated on May 24th 2012 due to a slow recruitment rate. The study was not terminated for reasons of safety or efficacy.
NCT00905775,TERMINATED,OBSERVATIONAL,Failure of recruitment
NCT00905801,TERMINATED,INTERVENTIONAL,"Co-PI left institution, PI not pursuing"
NCT00906035,TERMINATED,INTERVENTIONAL,Could not enroll subjects who met the stringent inclusion/exclusion criteria.
NCT00906048,TERMINATED,INTERVENTIONAL,lack of recruitment
NCT00906100,WITHDRAWN,OBSERVATIONAL,"Dr Obel is deceased and no other investigators on study to provide information. old record, IRB has no information; outside of retention period."
NCT00906243,TERMINATED,INTERVENTIONAL,Study Closed after completion of Phase I
NCT00906477,TERMINATED,INTERVENTIONAL,"The study was extended for 2.5 years. A further extension could not be funded. When the study was halted in June 2012, 47 subjects were included."
NCT00906776,TERMINATED,INTERVENTIONAL,Difficulty to recruit patients fulfilling inclusion criteria
NCT00906841,TERMINATED,INTERVENTIONAL,completed recruitment of patients on 15 december 2010
NCT00907166,TERMINATED,INTERVENTIONAL,Suspended trial was not restarted.
NCT00907179,TERMINATED,INTERVENTIONAL,Widespread use firstline Pemetrexed; slow recruitment; funding withdrawn..
NCT00907218,TERMINATED,INTERVENTIONAL,extremely slow enrollment
NCT00907231,WITHDRAWN,OBSERVATIONAL,Business Decision
NCT00907413,TERMINATED,INTERVENTIONAL,PI relocated and reopened trial in new university
NCT00907582,TERMINATED,INTERVENTIONAL,slow recruitment
NCT00907595,WITHDRAWN,INTERVENTIONAL,unable to recruit subjects for study.Collaborator stopped funding for study as of 3/31/2010
NCT00907608,TERMINATED,INTERVENTIONAL,Due to difficulty in patient recruitment
NCT00907634,WITHDRAWN,OBSERVATIONAL,"Study closed by IRB because a Continuing Review and/or Close-Out have not been submitted.

Study closed by IRB"
NCT00907699,WITHDRAWN,OBSERVATIONAL,Slow Accrual
NCT00907712,WITHDRAWN,INTERVENTIONAL,Department difficulties
NCT00907764,TERMINATED,INTERVENTIONAL,Slow enrollment
NCT00907829,WITHDRAWN,INTERVENTIONAL,Methods unexpectedly required additional refinement that precluded subject enrollment.
NCT00907946,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00907985,TERMINATED,INTERVENTIONAL,Slow recruitment; trial unlikely to reach completion
NCT00908063,TERMINATED,INTERVENTIONAL,futility
NCT00908206,WITHDRAWN,INTERVENTIONAL,Study not approved by BfARM
NCT00908219,WITHDRAWN,INTERVENTIONAL,Accrual closed by sponsor due to lack of accrual and study progress
NCT00908414,WITHDRAWN,INTERVENTIONAL,strategic decision
NCT00908531,TERMINATED,INTERVENTIONAL,Poor recruitement
NCT00908622,TERMINATED,INTERVENTIONAL,Lack of enrollment
NCT00908739,WITHDRAWN,OBSERVATIONAL,PI left
NCT00908856,WITHDRAWN,INTERVENTIONAL,Not funded
NCT00908947,TERMINATED,INTERVENTIONAL,Unable to enroll the required number of subjects
NCT00908986,WITHDRAWN,INTERVENTIONAL,Terminated by sponsor
NCT00909272,WITHDRAWN,OBSERVATIONAL,One of the investigators has left the institution
NCT00909363,TERMINATED,INTERVENTIONAL,retirement of PI
NCT00909584,TERMINATED,INTERVENTIONAL,Study TLK199.2103 was terminated for business reasons.
NCT00909662,TERMINATED,OBSERVATIONAL,Funding unavailable
NCT00909935,TERMINATED,OBSERVATIONAL,unable to enroll enough patients
NCT00909948,TERMINATED,INTERVENTIONAL,Slow Accrual
NCT00910000,TERMINATED,INTERVENTIONAL,Terminated due to unacceptable toxicity
NCT00910039,TERMINATED,INTERVENTIONAL,Slow Accrual
NCT00910299,TERMINATED,INTERVENTIONAL,Due to the low rate of primary endpoint events experienced in the study to date
NCT00910325,TERMINATED,INTERVENTIONAL,"The alternative laparoscopic chole, has so little morbidity very few patients opt for a transvaginal approach when presented with the alternative"
NCT00910416,TERMINATED,OBSERVATIONAL,Differences between BIS and Neurosense are important. This study can be terminated.
NCT00910494,TERMINATED,INTERVENTIONAL,No longer practical to deliver treatment
NCT00910780,WITHDRAWN,INTERVENTIONAL,Study was not funded.
NCT00911027,TERMINATED,INTERVENTIONAL,Failure to meet primary objective
NCT00911053,TERMINATED,INTERVENTIONAL,Unique provision in the American Recovery and Reinvestment Act prevented approval of second year no-cost-extension in which completion of analyses were planned.
NCT00911079,TERMINATED,INTERVENTIONAL,Low Accrual
NCT00911131,WITHDRAWN,INTERVENTIONAL,Loss of funding
NCT00911209,TERMINATED,INTERVENTIONAL,Terminated because funding was not found
NCT00911326,TERMINATED,INTERVENTIONAL,The trial was terminated early based on an interim review by the Data and Safety Monitoring Committee for positive efficacy outcome and no safety concerns.
NCT00911339,TERMINATED,INTERVENTIONAL,prematurely interrupted because of difficulty in enrolment of patients.
NCT00912054,TERMINATED,INTERVENTIONAL,poor enrollment
NCT00912236,TERMINATED,OBSERVATIONAL,Investigator left institution
NCT00912288,TERMINATED,INTERVENTIONAL,See termination reason in detailed description.
NCT00912366,TERMINATED,OBSERVATIONAL,Slow Enrollment
NCT00912444,TERMINATED,INTERVENTIONAL,"TAC treatment was associated with better survial outcome compared with TC treatment, we terminated recruiting and waiting for longer follow up period."
NCT00912509,TERMINATED,INTERVENTIONAL,insufficient efficacy
NCT00912561,TERMINATED,INTERVENTIONAL,slow recruiting
NCT00912899,TERMINATED,INTERVENTIONAL,Terminated early due to lack of clinical response.
NCT00912912,TERMINATED,INTERVENTIONAL,Slow Accrual
NCT00912990,TERMINATED,INTERVENTIONAL,Adequate subjects numbers not enrolled in study timeframe.
NCT00913003,TERMINATED,INTERVENTIONAL,PI terminated employment with the University
NCT00913159,TERMINATED,INTERVENTIONAL,Slow accrual
NCT00913393,TERMINATED,INTERVENTIONAL,Study was terminated early for business purposes and as a result of a strategic decision to shift focus to another indication.
