overallstatus,study_type,lemmatize_text,nct_id,raw_text,trial_no_longer_needed,inadequate_study_design_or_study_redesign,efficacy,logistics,business_or_sponsor_reason,negligence_or_recommandation_of_legalities,organizational_issues,safety_ethics_aes,category,others,enrollment_related,pi_related,slow_accrual,funding_related,added_by_error,study_competition,covid-19_and_similar_epidemic_related,completed_early_or_truncated_completion
TERMINATED,INTERVENTIONAL,publication similar study not ethical continue,NCT01152021,Publication of a similar study. Not ethical to continue.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study delay not funded,NCT01152333,This study is delayed. It was not funded.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TERMINATED,OBSERVATIONAL,affiliate study sammpris stenting aggressive medical management preventing recurrent stroke intracranial stenosis stop enrollment,NCT01152944,The affiliated study SAMMPRIS (Stenting and Aggressive Medical Management for Preventing Recurrent stroke in Intracranial Stenosis) has stopped enrollment.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study terminate rate prothesis dislocation high,NCT01153061,The study was terminated because the rate of prothesis dislocation was too high.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,ind withdrawal study close,NCT01153113,IND has been withdrawn and the study is closed.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,approval several new agent treatment hcv infection would mitigate future need interferon hcv treatment,NCT01153919,Approval of several new agents for the treatment of HCV infection would mitigate the future need for interferon HCV treatment,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
WITHDRAWN,OBSERVATIONAL,sponsor stop study,NCT01153945,The sponsor stopped the study.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,randomized patient impossible measure adrenomedullin brazil however analysed interesting clinical laboratory result,NCT01154504,"We randomized 18 patients, but was impossible to measure adrenomedullin in Brazil. However, we analysed some interesting clinical and laboratorial results.",0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low enrollment increase loss follow ups general lack interest,NCT01154751,"Slow enrollment,increased loss to follow-ups and general lack of interest.",0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,sponsor withdrawal fund study,NCT01154868,Sponsor withdrew funding of study.,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,observed event rate low expect protocol hypothesis,NCT01155310,the observed event rate is lower than expected by the protocol hypothesis.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,individual able recruited,NCT01155336,Only 5 individuals were able to be recruited.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,several factor contribute significant challenge enrollment lead sponsor discontinue amag ferckd study design,NCT01155375,Several factors contributed to significant challenges in enrollment and led the Sponsor to discontinue the AMAG-FER-CKD-251 study as designed.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,seem simply stop,NCT01155544,Seems to have simply stopped.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,never funded,NCT01155752,Never funded,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,extend beyond completion date oreilly choose close rather renew irb review,NCT01156051,extended beyond completion date; chose to close out rather than renew IRB review,0,0,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study never implemented,NCT01156220,Study was never implemented.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,number patient serum cortisol intake or ml reach ng or ml reach mg,NCT01156519,Number of patients with a serum cortisol > 18 ng/ml reached,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,study prematurely terminate due low enrollment not safety reason,NCT01156532,This study was prematurely terminated due to low enrollment and not for safety reasons.,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,difficulty logistics handle severe patient travel hospital stay follow,NCT01156922,"Difficulties in logistics handling the very severe patients (travel, hospital stay, follow-up)",0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,absence patient enrollment study due administrative reason,NCT01156961,Absence of patient's recruitment in the study due to administrative reasons,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low enrollment rate center open radical prostatectomy almost completely replace robotic prostatectoms,NCT01157546,"Low recruitment rate. In our center, open radical prostatectomies have been almost completely replaced by robotic prostatectomies.",0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,investigator not plan pursue study never irb approve,NCT01157949,PI not planning to pursue this study and it was never IRB approved.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study complete another site,NCT01157975,Study was completed in another site,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,fda clinical hold require ind submission product not available market anymore,NCT01158417,"FDA clinical hold requiring IND submission, product not available in the market anymore",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low enrollment reduction ct surgery support,NCT01158703,poor recruitment and reduction in CT surgery support,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,grant fund expire low patient enrollment,NCT01158729,"Grant funding expired, poor patient enrollment",0,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,study terminate lack accrual,NCT01158885,Study terminated for lack of accrual.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low enrollment lack resource,NCT01158937,Inadequate enrolment and lack of resources,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,fund source not go fund anymore two patient complete study therefore meaningful analysis not possible,NCT01159054,The funding source is not going to fund this anymore. Only two subjects completed the study therefore meaningful analysis not possible.,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
WITHDRAWN,INTERVENTIONAL,recent development lead evaluation study,NCT01159236,Recent developments lead to re-evaluation of study.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,population interest no longer available,NCT01159548,Population of interest was no longer available,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,OBSERVATIONAL,await fund,NCT01159795,Awaiting further funding,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,study termination due negative phase iii another study product technology platform,NCT01159964,Study termination due to negative Phase III of another study product from same technology platform.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study terminate logistic reason not relate safety or efficacy vaccine,NCT01160237,The study was terminated for logistic reasons not related to safety or efficacy of the vaccine.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study terminate not able obtain study drug,NCT01160445,The study was terminated because we were not able to obtain the study drug.,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,dlts report first patient low possible dose cohort,NCT01160926,2 DLTs had been reported from first 4 patients on lowest possible dose cohort.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,not able provide staff recruting present,NCT01160965,Not able provide staff for recruting at present,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,change aetiology squamous cell carcinoma head neck scchn,NCT01161498,The changing aetiology of squamous cell carcinoma of the head and neck (SCCHN).,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,extremely low accural due rarity medical condition study,NCT01161641,Extremely slow accural due to rarity of medical condition studied.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,unable enrollment patient meeting eligibility criterion,NCT01162304,unable to enroll subjects meeting Eligibility criteria,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,grant support end follow key personnel investigator leave institution,NCT01162382,Grant support ended following which the key personnel (PI) left the institution.,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
SUSPENDED,INTERVENTIONAL,study expand include another study,NCT01162694,Study was expanded and included in another study.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,risk donor blood transfusion unacceptably high short duration group,NCT01162720,The risk of donor blood transfusion was unacceptably high in the Short Duration Group,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,replace new study,NCT01163201,Replaced by a new study,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study close due low accrual before accrual goal reach,NCT01163786,Study was closed due to low accrual before the accrual goal was reached,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,note increase risk great expect standard care therapy,NCT01163799,"Noted increased risks, greater than expected for standard of care therapy.",0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study redesigned base fda feedback,NCT01163838,Study was redesigned based on FDA feedback.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study close protocol review monitoring committee lack accrual,NCT01163929,Study closed by Protocol Review Monitoring Committee because of lack of accrual,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,increase production study drug lymphoglobulin enrollment patient onto trial low,NCT01163942,"Ceased production of the study drug, Lymphoglobulin. Recruitment of patients onto the trial was too slow.",0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,voluntarily terminate investigator due lack feasibility,NCT01164098,Voluntarily terminated by PI due to lack of feasibility.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,due discussion regarding design study,NCT01164540,Due to discussion regarding the design of the study.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,patient enrollment study enable amgen adequately ass safety tolerability,NCT01164917,The 16 subjects enrolled in the study should enable Amgen to adequately assess safety and tolerabili,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low resource,NCT01164956,Insufficient Resources,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,no resource available clinic,NCT01164982,No resources available at the clinic,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,drug manufacturer could not supply study drug,NCT01165450,Drug manufacturer could not supply study drug.,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,unable identify appropriate patient,NCT01166529,Unable to identify appropriate patients.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,not enough data collect work,NCT01166581,Not enough data collected to work with,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,collaborator stop study,NCT01166724,Collaborator stopped study,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,project not funded withdrawal va,NCT01166828,Project not funded - withdrawn by VA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
WITHDRAWN,OBSERVATIONAL,unable find grant fund support continue build study device,NCT01166880,Unable to find grant fundingsupport to continue builds the study device.,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0
WITHDRAWN,INTERVENTIONAL,laser company not provide laser unit study,NCT01166919,Laser company cannot provide laser unit for the study.,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,concern detrimental effect,NCT01167738,concern of detrimental effect,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,siemens management decide not release product usa,NCT01167777,Siemens Management decided not to release the product in the USA.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study terminate principal investigator leave site previous patient enrollment deceased,NCT01167816,The study was terminated as the Prinicipal Investigator left the site- all previous subjects enrolled are deceased,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study close sponsor prior complete enrollment goal,NCT01168024,Study closed by sponsor prior to completing enrollment goal.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,study terminate due decrease percentage patient,NCT01168856,This study was terminated due to the decrease in percentage of participants.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,sponsor decision not initiate clinical trial time,NCT01168882,Sponsor decision to not initiate clinical trial at this time,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,recommend dsmb,NCT01168908,As recommended by the DSMB.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,interim analysis show no statistical significance achieve,NCT01169064,Interim analysis showed no statistical significance achieved.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,fund source end earlier anticipate,NCT01169350,funding source ended earlier than anticipated,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
WITHDRAWN,INTERVENTIONAL,fund not obtain,NCT01169415,Funding not obtained,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study not begin terminate system,NCT01169922,The study did not begin and is being terminated from the system.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,terminate due sibutramine withdrawal market,NCT01170364,Terminated due to sibutramine being withdrawn from the market.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,adequate enrollment,NCT01170442,In adequate enrollment,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low enrollement,NCT01170468,inadequate enrollement,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,field safety notice relate potential ventricular oversensing associate phd feature paradym icds,NCT01170624,Field Safety Notice related to potential ventricular oversensing associated to the PhD feature on Paradym ICDs,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,dsmb decision,NCT01170650,DSMB decision,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,study terminate due lack patient enrollment,NCT01170728,The study has been terminated due to lack of subject enrollment.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study medication expire,NCT01170949,Study medication expired,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,context world health organization phase pandemic influenza declaration conduct study deem no longer feasible,NCT01171157,In the context of the World Health Organization's (WHO) Phase 6 pandemic influenza declaration the conduct of the study was deemed no longer feasible,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
WITHDRAWN,INTERVENTIONAL,low fund enrollment patient investigator realize study could not perform,NCT01171456,Insufficient funding for enrollment of patients. The invesitgators realized the study could not be performed.,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,problem national reimbursement policy,NCT01171482,There were problems with national reimbursement policies.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,enrollment not meet projection numerous lose follow,NCT01171521,enrollment did not meet projections and numerous lost to follow-up,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study determine not feasible continue,NCT01171534,Study determined not to be feasible to continue.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,objective response rate two people confirm,NCT01171755,The objective response rate by more than two people are confirmed.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,terminate prior plan completion anticipate protocol,NCT01172197,Terminated prior to its planned completion as anticipated by the protocol).,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,OBSERVATIONAL,study not receive fund currency undergo protocol revision,NCT01172262,"Study did not recieve funding, currenlty undergoing protocol revision.",0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,much variability tm measure,NCT01172509,too much variability in the TMS measures,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,enrollment stop statistical power study reach study objective could meet despite premature discontinuation,NCT01172756,Recruitment was only stopped after the statistical power of the study was reached and the study objectives could be met despite the premature discontinuation.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WITHDRAWN,OBSERVATIONAL,cost antibody production rise supplemental fund request not approve,NCT01173146,Costs for antibody production rose; supplemental funding request not approved.,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0
TERMINATED,INTERVENTIONAL,field change decide develop prep program,NCT01173276,"The field has changed, and we have decided to develop a PrEP program.",0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,business decision reevaluate clinical need,NCT01173419,Business decision to reevaluate clinical needs.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study not feasible due facility budget contractual issue,NCT01173510,This study was not feasible due to facility budget and contractual issues.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,recommendation idmc steer committee terminate trial due ethical concern raise j art study,NCT01173939,"With recommendation from IDMC, Steering Committee terminated this trial due to ethical concerns raised by J-ART study.",0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,no value find efficacy,NCT01174199,no value in finding efficacy,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
SUSPENDED,INTERVENTIONAL,due le patient study suspend,NCT01174979,due to less patient the study was suspended,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,treatment deem ineffective accrual close,NCT01175291,treatment deemed ineffective so accrual was closed,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,interim analysis not reveal anticipate benefit intervention,NCT01175330,Interim analysis did not reveal of anticipated benefits of intervention,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,unable obtain fund continue enrollment no accrual,NCT01175499,Unable to obtain funding to continue recruitment; no accrual,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study withdrawal clinicaltrialsgov,NCT01175616,Study withdrawn from ClinicalTrials.gov.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,base plan interim analysis result enrollment irb review result enrollment stop,NCT01175668,"Based on the planned interim analysis results at 50% recruitment, after IRB reviewed the results, further enrollment was stopped.",0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,due change national policy medication,NCT01175772,Due to change in the national policy of medications,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,OBSERVATIONAL,unable meet accrual due change practice pattern,NCT01175967,Unable to meet accrual due to changing practice patters,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,grant withdrawal no financial support conduct study,NCT01176318,grant was withdrawn no financial support to conduct the study.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,enrollment study stop follow approval c pulse system pivotal study ide decision not base safety concern,NCT01176370,Enrollment for this study was stopped following approval of the C-Pulse System pivotal study IDE.This decision was not based on any safety concerns.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
WITHDRAWN,OBSERVATIONAL,lack resource no patient enrollment,NCT01176422,lack of resources; no patient enrollment,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,plan interim analysis no significant outcome difference group,NCT01176565,Planned interim analysis: no significant outcome differences between groups,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,OBSERVATIONAL,difficult enrollment patient area,NCT01176812,Difficult to recruit subjects in the area.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low effect size,NCT01177189,Inadequate effect size.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,interim analysis show tested protocol not improve treatment,NCT01177215,Interim analysis showed that the tested protocol did not improve treatment,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,choice principal investigator,NCT01177501,choice of the principal investigator,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study terminate early due enrollment difficulty futility observe difference remission rate treatment arm,NCT01177540,The study was terminated early due to enrollment difficulties and the futility of observing differences in remission rate between treatment arms.,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,hologic make business decision no longer sell or manufacture adiana device,NCT01177670,Hologic made business decision to no longer sell or manufacture Adiana device.,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,investigator move different institution decide concentrate different study,NCT01177709,PI moved to different institution. Decided to concentrate on different studies.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
TERMINATED,INTERVENTIONAL,payment stop grant provider,NCT01178047,payments stopped by grant provider,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
WITHDRAWN,INTERVENTIONAL,patient population require high amount opioids,NCT01179100,Patient population require high amount of opioids.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,preliminary result not show benefit,NCT01179113,The preliminary result didn't show any benefit.,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study stop research team unable enrollment patient,NCT01179269,The study was stopped because the research team was unable to enroll any participants,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,principal investigator decide close study site,NCT01179308,The principal investigator decided to close this study site.,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,study cancel operational reason,NCT01179594,This study was canceled for operational reasons.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study terminate due serious ae sae,NCT01179737,Study was terminated due to serious adverse event (SAE),0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study terminate early due manufacturer not replenishing study site supply insert despite repeat request insert,NCT01180062,"Study terminated early due to manufacturer not replenishing study site supply of inserts, despite repeated requests for more inserts.",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,image not adequate visualize catheter penetration or obtain measurement,NCT01181596,Images not adequate to visualize catheter penetration or obtain measurements,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,departmental financial support withdrawal,NCT01181843,departmental financial support withdrawn,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
TERMINATED,INTERVENTIONAL,enrollment rate low one screening failure one early withdrawal patient,NCT01181921,The recruitment rate was very low (one screening failure and one early withdrawal patient),0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,cip amend include long term fu no site accept number site participate extend fu small,NCT01181947,"CIP was amended to include long-term FU but, not all sites accepted it so the nr. of pts participating in the extended FU will be small.",0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,OBSERVATIONAL,small number patient enrollment,NCT01182298,small number of patients enrolled,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,per design stop fewer cohort molecular classification patient or cohort enrollment least patient,NCT01182350,Per design: Stop if fewer than 3 cohorts by molecular classification were with 10 participants or only 1 cohort enrolled at least 15 participants of 50.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,safety concern similar trial enrolling patient population,NCT01182610,Safety concern in a similar trial enrolling the same patient population,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low evidence efficacy,NCT01182675,Insufficient evidence of efficacy,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,technology plan use study get outdated therefore study not conduct according initial protocol,NCT01183130,The technology planned to be used in the study got outdated and therefore the study will not be conducted according to the initial protocol.,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
TERMINATED,OBSERVATIONAL,study terminate last week,NCT01183377,the study terminated last week,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
WITHDRAWN,INTERVENTIONAL,sponsor decision lack mechanistic signal compete industry study,NCT01183455,Sponsor decision-lack of mechanistic signal and competing industry studies,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,due lack mechanistic signal compete industry study,NCT01183468,Due to lack of mechanistic signal and competing industry studies,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
TERMINATED,INTERVENTIONAL,study enrollment rate far slow anticipate study stop business purpose,NCT01183637,Study enrollment rate was far slower than anticipated. Study was stopped for business purposes.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,low enrollment fund end,NCT01183962,"slow enrollment, funding ended",0,0,0,0,0,0,0,0,,0,0,0,1,1,0,0,0,0
TERMINATED,INTERVENTIONAL,accrual low no patient enrollment year,NCT01184053,Accrual was very low. No subject had been enrolled in a year.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,chloroprep wipe no longer available,NCT01184196,ChloroPrep Wipes no longer available,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TERMINATED,INTERVENTIONAL,elevation alt ast patient,NCT01184508,Elevation of ALT and AST in some patients.,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0
